lot	path	base_lines	final_lines	base_prose	final_prose	removed_prose	modified
L10	runtime/lib/fleet/layout.ex	578	396	352	170	182	true
L10	runtime/lib/fleet/toolchain.ex	323	233	158	69	89	true
L10	runtime/test/fleet/layout_test.exs	313	251	80	18	62	true
L10	runtime/test/fleet/toolchain_test.exs	217	188	37	8	29	true
L11	runtime/lib/fleet/durable_log.ex	127	92	56	21	35	true
L11	runtime/lib/fleet/env_parse.ex	127	114	40	27	13	true
L11	runtime/lib/fleet/findings_wire.ex	201	132	112	43	69	true
L11	runtime/lib/fleet/git_ref.ex	39	39	13	13	0	false
L11	runtime/lib/fleet/grace.ex	46	28	36	18	18	true
L11	runtime/test/fleet/durable_log_test.exs	95	85	17	7	10	true
L11	runtime/test/fleet/env_parse_test.exs	85	85	2	2	0	false
L11	runtime/test/fleet/findings_wire_test.exs	132	113	23	4	19	true
L11	runtime/test/fleet/git_ref_property_test.exs	145	107	49	13	36	true
L11	runtime/test/fleet/git_ref_test.exs	48	42	11	5	6	true
L11	runtime/test/fleet/grace_test.exs	55	52	8	5	3	true
L12	runtime/lib/fleet/labels.ex	321	184	210	73	137	true
L12	runtime/lib/fleet/opts.ex	36	29	20	13	7	true
L12	runtime/lib/fleet/periodic_check.ex	138	85	80	27	53	true
L12	runtime/lib/fleet/pod_id.ex	75	70	27	22	5	true
L12	runtime/lib/fleet/reception_filter.ex	77	60	37	20	17	true
L12	runtime/lib/fleet/release_door.ex	48	28	31	11	20	true
L12	runtime/test/fleet/labels_test.exs	172	143	45	16	29	true
L12	runtime/test/fleet/opts_exported_test.exs	20	17	5	2	3	true
L12	runtime/test/fleet/periodic_check_test.exs	168	159	20	11	9	true
L12	runtime/test/fleet/pod_id_test.exs	86	77	13	4	9	true
L12	runtime/test/fleet/reception_filter_test.exs	58	58	2	2	0	false
L12	runtime/test/fleet/release_door_test.exs	57	43	20	6	14	true
L13	runtime/lib/fleet/shutdown/quiesce.ex	123	102	42	21	21	true
L13	runtime/lib/fleet/slug.ex	163	151	90	78	12	true
L13	runtime/lib/fleet/system_config.ex	99	86	26	13	13	true
L13	runtime/test/fleet/shutdown/quiesce_test.exs	138	124	20	6	14	true
L13	runtime/test/fleet/slug_property_test.exs	192	139	65	16	49	true
L13	runtime/test/fleet/slug_test.exs	125	118	13	7	6	true
L13	runtime/test/fleet/system_config_test.exs	74	64	15	5	10	true
L14	runtime/lib/fleet/cap_profile.ex	1065	832	476	243	233	true
L14	runtime/lib/fleet/cap_profile/canonical_json.ex	51	51	13	13	0	false
L14	runtime/test/fleet/cap_profile/canonical_json_property_test.exs	126	86	46	9	37	true
L14	runtime/test/fleet/cap_profile_test.exs	1700	1513	226	53	173	true
L15	runtime/lib/fleet/cap_profile/catalog.ex	554	412	237	96	141	true
L15	runtime/lib/fleet/cap_profile/disallowed_tools.ex	81	82	20	21	-1	true
L15	runtime/lib/fleet/cap_profile/image.ex	239	181	94	36	58	true
L15	runtime/lib/fleet/cap_profile/invariants.ex	265	189	112	36	76	true
L15	runtime/lib/fleet/cap_profile/loader.ex	16	16	5	5	0	false
L15	runtime/lib/fleet/cap_profile/schema.ex	232	161	97	27	70	true
L15	runtime/test/fleet/cap_profile/conformance_test.exs	413	351	90	28	62	true
L15	runtime/test/fleet/cap_profile/declaration_schema_test.exs	97	94	10	7	3	true
L15	runtime/test/fleet/cap_profile/disk_scope_test.exs	147	124	32	9	23	true
L15	runtime/test/fleet/cap_profile/monks_conformance_test.exs	116	104	19	7	12	true
L15	runtime/test/fleet/cap_profile/monks_frozen_test.exs	51	47	8	4	4	true
L15	runtime/test/fleet/cap_profile_image_test.exs	174	153	34	13	21	true
L16	runtime/lib/fleet/catalogue.ex	858	550	486	179	307	true
L16	runtime/lib/fleet/schema_cache.ex	98	79	50	31	19	true
L16	runtime/test/fleet/cap_profile_reserved_seat_test.exs	144	133	24	13	11	true
L16	runtime/test/fleet/catalogue_store_address_test.exs	68	46	32	10	22	true
L16	runtime/test/fleet/catalogue_test.exs	525	463	84	22	62	true
L16	runtime/test/fleet/loader_envelope_test.exs	377	320	79	22	57	true
L16	runtime/test/fleet/schema_cache_test.exs	158	145	22	9	13	true
L17	runtime/lib/fleet/credentials.ex	19	19	4	4	0	false
L17	runtime/lib/fleet/credentials/authority.ex	130	107	46	23	23	true
L17	runtime/lib/fleet/credentials/forge_auth.ex	182	129	94	41	53	true
L17	runtime/lib/fleet/credentials/forge_identity.ex	265	190	123	49	74	true
L17	runtime/lib/fleet/credentials/gate.ex	80	69	31	20	11	true
L17	runtime/lib/fleet/credentials/human.ex	60	60	14	14	0	true
L17	runtime/lib/fleet/credentials/role_identity.ex	100	71	61	32	29	true
L17	runtime/test/fleet/credentials/forge_auth_test.exs	181	157	30	6	24	true
L17	runtime/test/fleet/credentials/forge_identity_test.exs	93	84	17	8	9	true
L17	runtime/test/fleet/credentials/gate_test.exs	105	100	10	5	5	true
L17	runtime/test/fleet/credentials/role_identity_test.exs	76	66	13	3	10	true
L18	runtime/lib/fleet/credentials/role_token.ex	152	111	68	27	41	true
L18	runtime/lib/fleet/credentials/shell.ex	468	306	238	76	162	true
L18	runtime/test/fleet/credentials/role_token_test.exs	99	62	41	5	36	true
L18	runtime/test/fleet/credentials/shell_test.exs	380	312	94	26	68	true
L19	runtime/lib/fleet/project_bootstrap.ex	26	19	11	4	7	true
L19	runtime/lib/fleet/project_bootstrap/phase.ex	725	498	332	106	226	true
L19	runtime/lib/fleet/sp_builder.ex	456	389	132	65	67	true
L19	runtime/test/fleet/modops_consumption_test.exs	128	96	44	12	32	true
L19	runtime/test/fleet/project_bootstrap/clone_test.exs	777	688	157	70	87	true
L19	runtime/test/fleet/project_bootstrap/trailer_hook_test.exs	198	174	36	12	24	true
L19	runtime/test/fleet/sp_builder_test.exs	527	442	104	25	79	true
L20	runtime/lib/fleet/sp_builder/blocks.ex	183	142	80	39	41	true
L20	runtime/lib/fleet/sp_builder/composer.ex	22	22	3	3	0	false
L20	runtime/lib/fleet/sp_builder/image.ex	458	374	159	75	84	true
L20	runtime/lib/fleet/sp_builder/monk.ex	106	93	38	25	13	true
L20	runtime/lib/fleet/sp_builder/repo_sections.ex	199	143	88	32	56	true
L20	runtime/test/fleet/sp_builder/blocks_test.exs	225	198	39	12	27	true
L20	runtime/test/fleet/sp_builder/repo_sections_test.exs	223	201	36	14	22	true
L20	runtime/test/fleet/sp_builder/sp_image_invariants_test.exs	181	157	47	23	24	true
L20	runtime/test/fleet/sp_builder_image_parity_test.exs	126	109	28	11	17	true
L20	runtime/test/fleet/sp_builder_image_test.exs	394	339	86	31	55	true
L20	runtime/test/fleet/sp_builder_monk_test.exs	84	78	13	7	6	true
L21	runtime/lib/fleet/event.ex	123	123	26	26	0	true
L21	runtime/lib/fleet/event_router.ex	29	29	7	7	0	true
L21	runtime/lib/fleet/event_router/application.ex	142	125	30	13	17	true
L21	runtime/lib/fleet/event_router/bind_address.ex	62	62	10	10	0	true
L21	runtime/lib/fleet/event_router/bus.ex	254	230	88	64	24	true
L21	runtime/lib/fleet/event_router/catalog.ex	196	172	48	24	24	true
L21	runtime/test/fleet/event_router/application_escalation_test.exs	28	23	9	4	5	true
L21	runtime/test/fleet/event_router/bind_address_test.exs	81	75	12	6	6	true
L21	runtime/test/fleet/event_router/bus_registry_empty_test.exs	112	99	26	13	13	true
L21	runtime/test/fleet/event_router/bus_safe_emit_test.exs	186	164	33	11	22	true
L21	runtime/test/fleet/event_router/bus_test.exs	123	108	19	5	14	true
L21	runtime/test/fleet/event_test.exs	108	104	10	6	4	true
L22	runtime/lib/fleet/event_router/listener.ex	59	52	27	20	7	true
L22	runtime/lib/fleet/event_router/signals_os.ex	23	23	6	6	0	false
L22	runtime/lib/fleet/event_router/unix_listener.ex	122	92	53	24	29	true
L22	runtime/lib/fleet/event_router/webhooks_gitea.ex	298	238	105	45	60	true
L22	runtime/test/fleet/event_router/catalog_fail_loud_test.exs	105	91	22	8	14	true
L22	runtime/test/fleet/event_router/catalog_routing_test.exs	160	149	18	8	10	true
L22	runtime/test/fleet/event_router/events_schema_test.exs	77	70	15	8	7	true
L22	runtime/test/fleet/event_router/r1_seam_broadcast_test.exs	48	40	17	9	8	true
L22	runtime/test/fleet/event_router/registry_gitea_test.exs	31	29	7	5	2	true
L22	runtime/test/fleet/event_router/signals_os_test.exs	13	13	2	2	0	false
L22	runtime/test/fleet/event_router/unix_listener_test.exs	130	112	33	15	18	true
L22	runtime/test/fleet/event_router/webhooks_gitea_test.exs	368	346	43	21	22	true
L23	runtime/lib/fleet/publish/in_flight.ex	47	47	13	13	0	true
L23	runtime/lib/fleet/task_queue.ex	160	155	50	45	5	true
L23	runtime/lib/fleet/task_queue/application.ex	24	21	4	1	3	true
L23	runtime/lib/fleet/task_queue/broadcast.ex	115	93	54	32	22	true
L23	runtime/lib/fleet/task_queue/server.ex	555	430	176	53	123	true
L23	runtime/lib/fleet/task_queue/work_item.ex	178	140	62	26	36	true
L23	runtime/test/fleet/publish/in_flight_test.exs	46	45	5	4	1	true
L23	runtime/test/fleet/task_queue_test.exs	806	718	170	85	85	true
L24	runtime/lib/fleet/conflict.ex	133	83	77	27	50	true
L24	runtime/lib/fleet/conflict/assemble.ex	99	95	17	13	4	true
L24	runtime/lib/fleet/conflict/classifier.ex	164	160	17	13	4	true
L24	runtime/lib/fleet/conflict/diff.ex	271	247	54	30	24	true
L24	runtime/lib/fleet/conflict/parser.ex	126	115	27	17	10	true
L24	runtime/lib/fleet/conflict/pattern.ex	31	26	11	6	5	true
L24	runtime/lib/fleet/conflict/patterns/complex.ex	26	25	5	4	1	true
L24	runtime/lib/fleet/conflict/patterns/delete_no_change.ex	56	54	7	5	2	true
L24	runtime/lib/fleet/conflict/patterns/insertion_at_boundary.ex	100	99	11	10	1	true
L24	runtime/lib/fleet/conflict/patterns/non_overlapping.ex	61	52	18	9	9	true
L24	runtime/test/fleet/conflict/conflict_test.exs	199	167	46	14	32	true
L24	runtime/test/fleet/conflict/patterns_test.exs	260	228	51	19	32	true
L25	runtime/lib/fleet/conflict/patterns/one_side_change.ex	41	42	3	4	-1	true
L25	runtime/lib/fleet/conflict/patterns/reorder_only.ex	53	54	4	5	-1	true
L25	runtime/lib/fleet/conflict/patterns/same_change.ex	31	31	3	3	0	true
L25	runtime/lib/fleet/conflict/patterns/utils.ex	382	372	39	34	5	true
L25	runtime/lib/fleet/conflict/patterns/value_only_change.ex	59	59	6	6	0	true
L25	runtime/lib/fleet/conflict/patterns/whitespace_only.ex	52	52	5	5	0	true
L25	runtime/lib/fleet/conflict/score.ex	76	63	27	14	13	true
L25	runtime/lib/fleet/conflict/types.ex	109	99	32	22	10	true
L26	runtime/lib/fleet/forge.ex	158	100	96	38	58	true
L26	runtime/test/fleet/forge/actions_test.exs	321	294	49	22	27	true
L27	runtime/lib/fleet/forge/client.ex	1306	1103	479	276	203	true
L27	runtime/test/fleet/forge/client_test.exs	2569	2408	340	180	160	true
L28	runtime/lib/fleet/forge/client/actions.ex	310	201	164	55	109	true
L28	runtime/lib/fleet/forge/client/ci.ex	148	96	74	22	52	true
L28	runtime/lib/fleet/forge/client/files.ex	119	118	27	26	1	true
L28	runtime/lib/fleet/forge/client/jury.ex	487	350	204	67	137	true
L28	runtime/lib/fleet/forge/client/labels.ex	288	229	84	26	58	true
L28	runtime/lib/fleet/forge/client/merge.ex	189	145	63	19	44	true
L28	runtime/lib/fleet/forge/client/repo.ex	515	432	184	101	83	true
L28	runtime/lib/fleet/forge/client/signing.ex	112	89	35	12	23	true
L28	runtime/test/fleet/forge/client/bot_login_cache_test.exs	220	190	41	11	30	true
L29	runtime/lib/fleet/forge/client/transport.ex	451	331	169	49	120	true
L29	runtime/lib/fleet/forge/client/url_safe.ex	38	38	15	15	0	true
L29	runtime/lib/fleet/forge/payload.ex	188	158	50	20	30	true
L29	runtime/test/fleet/forge/client/url_safe_test.exs	41	37	8	4	4	true
L29	runtime/test/fleet/forge/client_ci_state_test.exs	295	259	57	21	36	true
L29	runtime/test/fleet/forge/client_close_issue_kind_test.exs	51	45	12	6	6	true
L29	runtime/test/fleet/forge/client_pagination_test.exs	138	122	24	8	16	true
L29	runtime/test/fleet/forge/jury_verdict_function_test.exs	268	243	34	9	25	true
L29	runtime/test/fleet/forge/merge_405_test.exs	116	102	22	8	14	true
L29	runtime/test/fleet/forge/payload_fixture_test.exs	120	103	30	13	17	true
L29	runtime/test/fleet/forge/payload_test.exs	99	84	24	9	15	true
L30	runtime/lib/fleet/forge/protocol.ex	540	399	312	180	132	true
L30	runtime/lib/fleet/forge/write_spacing.ex	27	22	15	10	5	true
L30	runtime/test/fleet/forge/protocol_property_test.exs	154	119	45	12	33	true
L30	runtime/test/fleet/forge/protocol_test.exs	204	195	17	9	8	true
L30	runtime/test/support/forge/payload_fixture.ex	99	77	42	20	22	true
L31	runtime/lib/fleet/roster.ex	266	176	138	48	90	true
L31	runtime/lib/fleet/workflow.ex	77	46	42	11	31	true
L31	runtime/lib/fleet/workflow/brief_artifact.ex	208	141	110	43	67	true
L31	runtime/lib/fleet/workflow/brief_template.ex	34	36	8	10	-2	true
L31	runtime/lib/fleet/workflow/card_roles.ex	158	121	59	22	37	true
L31	runtime/lib/fleet/workflow/catalogue_guards.ex	172	120	68	16	52	true
L31	runtime/test/fleet/roster_test.exs	82	77	12	7	5	true
L31	runtime/test/fleet/workflow/brief_artifact_test.exs	298	267	51	20	31	true
L31	runtime/test/fleet/workflow/brief_template_test.exs	43	42	6	5	1	true
L31	runtime/test/fleet/workflow/card_roles_test.exs	243	215	39	11	28	true
L31	runtime/test/fleet/workflow/catalogue_guards_test.exs	44	43	5	4	1	true
L32	runtime/lib/fleet/workflow/deliverable.ex	221	193	55	28	27	true
L32	runtime/lib/fleet/workflow/deliverable_gate.ex	390	324	127	61	66	true
L32	runtime/lib/fleet/workflow/gate.ex	12	12	4	4	0	false
L32	runtime/lib/fleet/workflow/gate_brief.ex	105	76	49	20	29	true
L32	runtime/lib/fleet/workflow/gate_decision.ex	12	12	5	5	0	false
L32	runtime/test/fleet/workflow/deliverable_gate_test.exs	498	437	95	39	56	true
L32	runtime/test/fleet/workflow/deliverable_gate_timeout_test.exs	43	36	11	4	7	true
L32	runtime/test/fleet/workflow/deliverable_gate_trailer_test.exs	187	184	11	9	2	true
L32	runtime/test/fleet/workflow/deliverable_test.exs	476	462	36	22	14	true
L32	runtime/test/fleet/workflow/gate_brief_findings_contract_test.exs	34	26	11	3	8	true
L32	runtime/test/fleet/workflow/gate_brief_test.exs	117	108	15	5	10	true
L32	runtime/test/fleet/workflow/gate_decision_test.exs	87	78	19	10	9	true
L33	runtime/lib/fleet/workflow/gates.ex	128	87	60	19	41	true
L33	runtime/lib/fleet/workflow/gates/predicate.ex	170	114	99	43	56	true
L33	runtime/lib/fleet/workflow/git.ex	598	581	122	106	16	true
L33	runtime/lib/fleet/workflow/graph_validator.ex	143	145	16	18	-2	true
L33	runtime/lib/fleet/workflow/loader.ex	468	357	193	82	111	true
L33	runtime/test/fleet/workflow/gates_predicate_property_test.exs	171	146	47	22	25	true
L33	runtime/test/fleet/workflow/gates_predicate_test.exs	150	141	18	9	9	true
L33	runtime/test/fleet/workflow/gates_test.exs	199	184	22	7	15	true
L33	runtime/test/fleet/workflow/git_test.exs	377	358	60	41	19	true
L33	runtime/test/fleet/workflow/graph_validator_property_test.exs	194	159	61	26	35	true
L33	runtime/test/fleet/workflow/graph_validator_test.exs	111	111	11	11	0	true
L33	runtime/test/fleet/workflow/loader_test.exs	367	353	31	17	14	true
