lot	family	path	base_lines	base_prose_lines	current_prose_lines
L34	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/provenance_test.exs	130	17	17
L34	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/provenance_verifier_test.exs	143	13	13
L35	12 — Workflow : contrats et artefacts	runtime/lib/fleet/workflow/step_outputs.ex	137	66	66
L35	12 — Workflow : contrats et artefacts	runtime/test/fleet/workflow/step_outputs_test.exs	141	7	7
L36	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project.ex	78	45	45
L36	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/architect.ex	256	142	142
L36	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/declaration.ex	372	159	159
L36	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/git_ops.ex	78	20	20
L36	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/incidents.ex	73	32	32
L36	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/architect_test.exs	288	40	40
L36	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/declaration_test.exs	376	85	85
L36	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/incidents_test.exs	60	9	9
L36	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/probe_predicate_test.exs	468	141	141
L36	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/project_template_workflows_test.exs	180	57	57
L37	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/roles.ex	479	223	223
L37	13 — Projets : déclaration et maintenance	runtime/lib/fleet/project/worktree_sync.ex	246	69	69
L37	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/roles_structural_test.exs	236	66	66
L37	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/roles_test.exs	236	49	49
L37	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/template_material_test.exs	124	28	28
L37	13 — Projets : déclaration et maintenance	runtime/test/fleet/project/worktree_sync_test.exs	297	61	61
L38	14 — Projets : onboarding	runtime/lib/fleet/project/onboard.ex	501	207	207
L38	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/adopt.ex	181	22	22
L38	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/card.ex	368	94	94
L38	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/create.ex	308	99	99
L38	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/faces.ex	333	93	93
L38	14 — Projets : onboarding	runtime/test/fleet/project/onboard/adopt_test.exs	223	27	27
L38	14 — Projets : onboarding	runtime/test/fleet/project/onboard/card_revision_test.exs	429	59	59
L38	14 — Projets : onboarding	runtime/test/fleet/project/onboard/close_open_test.exs	262	35	35
L38	14 — Projets : onboarding	runtime/test/fleet/project/onboard/compensation_test.exs	532	112	112
L38	14 — Projets : onboarding	runtime/test/fleet/project/onboard_test.exs	619	150	150
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/import.ex	499	144	144
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/lifecycle.ex	467	110	110
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/migration.ex	368	152	152
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/refute.ex	130	59	59
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/repo.ex	192	41	41
L39	14 — Projets : onboarding	runtime/lib/fleet/project/onboard/scaffold.ex	279	117	117
L39	14 — Projets : onboarding	runtime/test/fleet/project/onboard/import_external_test.exs	328	50	50
L39	14 — Projets : onboarding	runtime/test/fleet/project/onboard/list_projects_test.exs	154	21	21
L39	14 — Projets : onboarding	runtime/test/fleet/project/onboard/reconcile_test.exs	158	38	38
L39	14 — Projets : onboarding	runtime/test/fleet/project/onboard/scaffold_test.exs	351	103	103
L39	14 — Projets : onboarding	runtime/test/fleet/project/onboard/store_gate_test.exs	154	50	50
L40	14 — Projets : onboarding	runtime/test/fleet/project/onboard_migrate_test.exs	268	53	53
L40	14 — Projets : onboarding	runtime/test/fleet/project/onboard_preflight_test.exs	162	65	65
L41	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp.ex	72	36	36
L41	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/idempotency.ex	115	11	11
L41	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_socket_acceptor.ex	620	203	203
L41	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_socket_supervisor.ex	161	30	30
L41	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/accessor_seam_conformance_test.exs	154	45	45
L41	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/emergency_stop_test.exs	227	20	20
L41	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/idempotency_test.exs	132	14	14
L41	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/poc_exmcp_native_test.exs	91	20	20
L41	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/pod_socket_test.exs	862	201	201
L42	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_tools.ex	1780	239	239
L42	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_tools/pod_resolver.ex	62	36	36
L42	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/pod_tools_test.exs	3158	435	435
L43	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_tools/probe.ex	353	159	159
L43	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_tools/project_publish.ex	336	110	110
L43	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/pod_tools/work_items.ex	112	53	53
L43	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/server.ex	55	32	32
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/probe_seam_contract_test.exs	61	28	28
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/probe_test.exs	336	60	60
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/project_publish_test.exs	135	36	36
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/result_event_test.exs	114	27	27
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/seam_conformance_test.exs	110	43	43
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/seam_contract_test.exs	47	20	20
L43	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/server_test.exs	59	16	16
L44	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/socket_warden.ex	196	54	54
L44	15 — MCP : transport et outils pods	runtime/lib/fleet/mcp/supervisor.ex	201	57	57
L44	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/socket_warden_test.exs	228	53	53
L44	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/submit_result_schema_test.exs	28	7	7
L44	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/supervisor_test.exs	139	44	44
L44	15 — MCP : transport et outils pods	runtime/test/fleet/mcp/tool_input_schema_test.exs	34	6	6
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation.ex	87	85	85
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/dependencies.ex	138	43	43
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/dependency_forge.ex	59	37	37
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/deposits.ex	267	72	72
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/escalation_forge.ex	39	18	18
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/escalations.ex	92	19	19
L45	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/forge_client.ex	173	107	107
L45	16 — MCP : délégation métier	runtime/test/fleet/mcp/create_issue_lot_test.exs	210	35	35
L45	16 — MCP : délégation métier	runtime/test/fleet/mcp/delete_project_disarmed_test.exs	127	15	15
L45	16 — MCP : délégation métier	runtime/test/fleet/mcp/dependency_seam_conformance_test.exs	136	18	18
L45	16 — MCP : délégation métier	runtime/test/fleet/mcp/dependency_tools_test.exs	143	13	13
L45	16 — MCP : délégation métier	runtime/test/fleet/mcp/issue_status_reviews_test.exs	264	37	37
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/forge_writer.ex	108	61	61
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/gate.ex	146	45	45
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/issue_pr.ex	129	33	33
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/issues.ex	911	271	271
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/portfolio.ex	750	233	233
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/project_onboard.ex	208	128	128
L46	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/render.ex	37	8	8
L47	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/retirement.ex	385	156	156
L47	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/scratchpad.ex	167	64	64
L47	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/toolchain.ex	219	82	82
L47	16 — MCP : délégation métier	runtime/lib/fleet/mcp/pod_tools/delegation/workshop.ex	26	15	15
L47	16 — MCP : délégation métier	runtime/test/fleet/mcp/retire_issue_test.exs	305	52	52
L47	16 — MCP : délégation métier	runtime/test/fleet/mcp/scratch_test.exs	150	29	29
L47	16 — MCP : délégation métier	runtime/test/fleet/mcp/supersede_dependencies_test.exs	215	34	34
L47	16 — MCP : délégation métier	runtime/test/fleet/mcp/toolchain_request_test.exs	341	47	47
L48	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot.ex	156	111	111
L48	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/application.ex	520	276	276
L48	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/arch_feed.ex	185	41	41
L48	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/arch_wake.ex	255	82	82
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/application_step_guards_test.exs	283	52	52
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/application_step_status_test.exs	222	64	64
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/application_test.exs	215	22	22
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/arch_feed_test.exs	228	13	13
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/arch_wake_test.exs	156	35	35
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/awaits_arch_drain_test.exs	103	15	15
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/card_jury_catalogue_scope_test.exs	168	58	58
L48	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/chain_integration_test.exs	540	76	76
L49	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/incident_consumer.ex	381	144	144
L49	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/incident_registry.ex	470	123	123
L49	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/incident_registry/escalation.ex	422	141	141
L49	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/incident_registry/store.ex	378	101	101
L49	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/issue_id.ex	26	9	9
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/forge_finch_test.exs	16	9	9
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/incident_consumer_test.exs	337	23	23
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/incident_registry/escalation_test.exs	226	25	25
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/incident_registry/store_test.exs	171	7	7
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/incident_registry_test.exs	991	138	138
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/issue_id_property_test.exs	103	32	32
L49	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/issue_id_test.exs	24	0	0
L50	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/pod_feed.ex	76	42	42
L50	17 — Pilot : coordination, incidents et réveils	runtime/lib/fleet/pilot/wake_recovery.ex	110	25	25
L50	17 — Pilot : coordination, incidents et réveils	runtime/test/fleet/pilot/wake_recovery_test.exs	226	32	32
L51	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/offload.ex	173	54	54
L51	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/pod_reaper.ex	177	76	76
L51	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/offload_test.exs	279	33	33
L51	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/pod_reaper_test.exs	148	22	22
L52	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller.ex	1187	455	455
L52	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller_test.exs	1748	350	350
L53	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller/admission.ex	254	136	136
L53	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller/backoff.ex	36	11	11
L53	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller/lease.ex	427	226	226
L53	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller/reconciliation.ex	641	336	336
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/admission_test.exs	253	40	40
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/admission_wait_test.exs	76	18	18
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/backoff_test.exs	93	32	32
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/lease_depends_test.exs	113	30	30
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/lease_serialization_test.exs	331	53	53
L53	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/list_pods_count_test.exs	60	10	10
L54	18 — Pilot : admission et réconciliation	runtime/lib/fleet/pilot/poller_telemetry.ex	365	155	155
L54	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/reconciliation_facts_test.exs	730	119	119
L54	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller/reconciliation_unreachable_tq_test.exs	279	67	67
L54	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller_gitea_kick_test.exs	155	34	34
L54	18 — Pilot : admission et réconciliation	runtime/test/fleet/pilot/poller_telemetry_test.exs	201	51	51
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/biz_catalogue_fixture.ex	133	29	29
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/cold_forge_stub.ex	19	9	9
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/dispatcher_bench.ex	406	84	84
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/forge_stubs.ex	137	59	59
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/poller_bench.ex	507	135	135
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/provenance_wall_harness.ex	104	12	12
L55	19 — Pilot : harnais de tests	runtime/test/support/pilot/stub_task_queue.ex	22	14	14
L56	20 — Pilot : dispatch et briefs	runtime/lib/fleet/pilot/brief_builder.ex	830	329	329
L56	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/brief_builder_gray_zone_digest_test.exs	31	6	6
L56	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/brief_builder_test.exs	783	134	134
L57	20 — Pilot : dispatch et briefs	runtime/lib/fleet/pilot/step_dispatcher.ex	784	259	259
L57	20 — Pilot : dispatch et briefs	runtime/lib/fleet/pilot/step_dispatcher/arch_escalation.ex	399	166	166
L57	20 — Pilot : dispatch et briefs	runtime/lib/fleet/pilot/step_dispatcher/project_resolver.ex	185	78	78
L57	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/arch_escalation_test.exs	182	28	28
L57	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/project_resolver_test.exs	55	6	6
L57	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher_test.exs	1452	248	248
L58	20 — Pilot : dispatch et briefs	runtime/lib/fleet/pilot/step_dispatcher/spawn.ex	909	406	406
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/spawn_capacity_test.exs	605	102	102
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/spawn_conflict_base_refresh_test.exs	109	9	9
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/spawn_naming_test.exs	85	23	23
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher/spawn_repo_id_test.exs	66	22	22
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher_gate_order_test.exs	257	35	35
L58	20 — Pilot : dispatch et briefs	runtime/test/fleet/pilot/step_dispatcher_spawn_as_role_test.exs	95	9	9
L59	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle.ex	580	259	259
L59	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/ci_gate.ex	385	169	169
L59	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/remediation.ex	506	167	167
L59	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/ci_gate_dispatch_test.exs	384	67	67
L59	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/ci_gate_test.exs	495	99	99
L59	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/merge_failure_dispatch_test.exs	415	111	111
L60	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/remediation/conflict_ladder.ex	495	156	156
L60	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/role_dispatch.ex	370	145	145
L60	21 — Pilot : revue et remédiation	runtime/lib/fleet/pilot/step_dispatcher/review_lifecycle/verdict_exception.ex	164	63	63
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/remediation/conflict_ladder_test.exs	94	10	10
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/remediation_ci_escalation_test.exs	65	4	4
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/remediation_out_of_band_test.exs	91	7	7
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/rework_budget_dispatch_test.exs	203	38	38
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/role_dispatch_test.exs	100	20	20
L60	21 — Pilot : revue et remédiation	runtime/test/fleet/pilot/step_dispatcher/review_lifecycle/verdict_exception_test.exs	177	36	36
L61	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/completion_outbox.ex	186	66	66
L61	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_completer.ex	1036	254	254
L61	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_completer/attestations.ex	225	73	73
L61	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_completer/emissions.ex	100	19	19
L61	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_completer/texts.ex	50	15	15
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/completion_outbox_replay_test.exs	151	39	39
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/completion_outbox_test.exs	98	21	21
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_completer/texts_test.exs	30	3	3
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_completer_as_role_test.exs	259	44	44
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_completer_spacing_test.exs	358	27	27
L61	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_completer_test.exs	1588	194	194
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer.ex	1007	243	243
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/gate_engine.ex	388	63	63
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/gatekeeper_escalation.ex	159	45	45
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/step_run_build.ex	249	44	44
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/terminal_escalation.ex	276	88	88
L62	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/verdict.ex	427	171	171
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/gate_engine_system_outputs_test.exs	97	15	15
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/gate_engine_test.exs	100	7	7
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/inflight_completions_test.exs	34	2	2
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/step_run_build_test.exs	199	20	20
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/terminal_escalation_test.exs	179	29	29
L62	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer_test.exs	651	87	87
L63	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/step_run_consumer/verdict_correction.ex	220	72	72
L63	22 — Pilot : résultats et progression	runtime/lib/fleet/pilot/workflow_map_nav.ex	118	37	37
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/verdict_correction_flag_test.exs	44	30	30
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/verdict_correction_test.exs	220	27	27
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer/verdict_findings_test.exs	161	36	36
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer_default_seam_test.exs	32	9	9
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer_gate_test.exs	1448	232	232
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/step_run_consumer_producers_test.exs	175	25	25
L63	22 — Pilot : résultats et progression	runtime/test/fleet/pilot/workflow_map_nav_test.exs	149	10	10
L64	23 — Pilot : fusion et conflits	runtime/lib/fleet/pilot/conflict_apply.ex	160	42	42
L64	23 — Pilot : fusion et conflits	runtime/lib/fleet/pilot/conflict_probe.ex	238	70	70
L64	23 — Pilot : fusion et conflits	runtime/lib/fleet/pilot/conflict_report.ex	133	47	47
L64	23 — Pilot : fusion et conflits	runtime/lib/fleet/pilot/merge_and_promote.ex	990	417	417
L64	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/conflict_apply_test.exs	142	22	22
L64	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/conflict_probe_test.exs	333	57	57
L64	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/conflict_report_test.exs	128	13	13
L64	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/merge_and_promote_comment_test.exs	141	28	28
L64	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/merge_and_promote_test.exs	822	199	199
L65	23 — Pilot : fusion et conflits	runtime/lib/fleet/pilot/merge_outcome.ex	26	8	8
L65	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/merge_and_promote_reap_test.exs	130	20	20
L65	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/merge_and_promote_worktree_test.exs	171	60	60
L65	23 — Pilot : fusion et conflits	runtime/test/fleet/pilot/merge_outcome_test.exs	47	9	9
L66	24 — API et observation	runtime/lib/fleet/api.ex	44	13	13
L66	24 — API et observation	runtime/lib/fleet/api/application.ex	79	35	35
L66	24 — API et observation	runtime/lib/fleet/api/build_info.ex	178	33	33
L66	24 — API et observation	runtime/lib/fleet/api/control_router.ex	248	67	67
L66	24 — API et observation	runtime/lib/fleet/api/readiness.ex	160	20	20
L66	24 — API et observation	runtime/lib/fleet/api/spawn_admission.ex	235	88	88
L66	24 — API et observation	runtime/lib/fleet/observation.ex	34	8	8
L66	24 — API et observation	runtime/lib/fleet/observation/application.ex	83	34	34
L66	24 — API et observation	runtime/test/fleet/api/bind_address_test.exs	108	38	38
L66	24 — API et observation	runtime/test/fleet/api/build_info_test.exs	65	16	16
L66	24 — API et observation	runtime/test/fleet/api/control_router_test.exs	648	122	122
L66	24 — API et observation	runtime/test/fleet/api/readiness_test.exs	243	31	31
L67	24 — API et observation	runtime/lib/fleet/observation/deck.ex	304	106	106
L67	24 — API et observation	runtime/lib/fleet/observation/deck/view.ex	244	27	27
L67	24 — API et observation	runtime/lib/fleet/observation/read_model.ex	227	57	57
L67	24 — API et observation	runtime/test/fleet/observation/bind_address_test.exs	90	30	30
L67	24 — API et observation	runtime/test/fleet/observation/deck_stylesheet_test.exs	74	28	28
L67	24 — API et observation	runtime/test/fleet/observation/deck_test.exs	325	78	78
L67	24 — API et observation	runtime/test/fleet/observation/read_model_test.exs	132	27	27
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral.ex	63	30	30
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/application.ex	93	39	39
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/audit_consumer.ex	162	43	43
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/boot_orchestrator.ex	118	14	14
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/mcp_monitor.ex	150	41	41
L68	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/shutdown.ex	350	152	152
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/application_boot_knob_test.exs	40	11	11
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/audit_consumer_resubscribe_test.exs	155	37	37
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/audit_consumer_test.exs	52	8	8
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/boot_orchestrator_test.exs	118	8	8
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/mcp_monitor_test.exs	211	25	25
L68	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/shutdown_test.exs	100	22	22
L69	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/admiral/toolchain_reconciler.ex	492	148	148
L69	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/application.ex	196	109	109
L69	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/application/catalogue_deposits.ex	329	152	152
L69	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/application/catalogue_lifecycle.ex	313	156	156
L69	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/shutdown_aggregate_test.exs	146	36	36
L69	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/admiral/toolchain_reconciler_test.exs	474	83	83
L69	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/application/catalogue_deposits_test.exs	377	64	64
L69	24b — Démarrage et arrêt de la flotte	runtime/test/fleet/application/catalogue_lifecycle_test.exs	404	86	86
L70	24b — Démarrage et arrêt de la flotte	runtime/lib/fleet/application/catalogue_verify.ex	230	85	85
