lot	family	path	base_lines	base_prose_lines	current_prose_lines
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/pool_slot_test.exs	166	43	43
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/recovery_test.exs	33	8	8
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/seed_store_test.exs	649	92	92
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/session_id_test.exs	165	29	29
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/completed_payload.ex	95	17	17
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/events.ex	78	21	21
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/kick.ex	203	133	133
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/liveness.ex	269	129	129
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/publishing.ex	58	26	26
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/task_probe.ex	162	100	100
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/turn_flag.ex	119	40	40
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/completed_payload_test.exs	146	16	16
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/events_test.exs	57	6	6
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/liveness_test.exs	132	30	30
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/turn_flag_test.exs	66	12	12
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod_kick_test.exs	188	39	39
L09	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod_kick_repl_up_test.exs	68	12	12
L10	05 — Chemins et toolchain	runtime/lib/fleet/layout.ex	578	352	352
L10	05 — Chemins et toolchain	runtime/lib/fleet/toolchain.ex	323	158	158
L10	05 — Chemins et toolchain	runtime/test/fleet/layout_test.exs	313	80	80
L10	05 — Chemins et toolchain	runtime/test/fleet/toolchain_test.exs	217	37	37
L11	05b — Primitives et formats partagés	runtime/lib/fleet/durable_log.ex	127	56	56
L11	05b — Primitives et formats partagés	runtime/lib/fleet/env_parse.ex	127	40	40
L11	05b — Primitives et formats partagés	runtime/lib/fleet/findings_wire.ex	201	112	112
L11	05b — Primitives et formats partagés	runtime/lib/fleet/git_ref.ex	39	13	13
L11	05b — Primitives et formats partagés	runtime/lib/fleet/grace.ex	46	36	36
L11	05b — Primitives et formats partagés	runtime/test/fleet/durable_log_test.exs	95	17	17
L11	05b — Primitives et formats partagés	runtime/test/fleet/env_parse_test.exs	85	2	2
L11	05b — Primitives et formats partagés	runtime/test/fleet/findings_wire_test.exs	132	23	23
L11	05b — Primitives et formats partagés	runtime/test/fleet/git_ref_property_test.exs	145	49	49
L11	05b — Primitives et formats partagés	runtime/test/fleet/git_ref_test.exs	48	11	11
L11	05b — Primitives et formats partagés	runtime/test/fleet/grace_test.exs	55	8	8
L12	05b — Primitives et formats partagés	runtime/lib/fleet/labels.ex	321	210	210
L12	05b — Primitives et formats partagés	runtime/lib/fleet/opts.ex	36	20	20
L12	05b — Primitives et formats partagés	runtime/lib/fleet/periodic_check.ex	138	80	80
L12	05b — Primitives et formats partagés	runtime/lib/fleet/pod_id.ex	75	27	27
L12	05b — Primitives et formats partagés	runtime/lib/fleet/reception_filter.ex	77	37	37
L12	05b — Primitives et formats partagés	runtime/lib/fleet/release_door.ex	48	31	31
L12	05b — Primitives et formats partagés	runtime/test/fleet/labels_test.exs	172	45	45
L12	05b — Primitives et formats partagés	runtime/test/fleet/opts_exported_test.exs	20	5	5
L12	05b — Primitives et formats partagés	runtime/test/fleet/periodic_check_test.exs	168	20	20
L12	05b — Primitives et formats partagés	runtime/test/fleet/pod_id_test.exs	86	13	13
L12	05b — Primitives et formats partagés	runtime/test/fleet/reception_filter_test.exs	58	2	2
L12	05b — Primitives et formats partagés	runtime/test/fleet/release_door_test.exs	57	20	20
L13	05b — Primitives et formats partagés	runtime/lib/fleet/shutdown/quiesce.ex	123	42	42
L13	05b — Primitives et formats partagés	runtime/lib/fleet/slug.ex	163	90	90
L13	05b — Primitives et formats partagés	runtime/lib/fleet/system_config.ex	99	26	26
L13	05b — Primitives et formats partagés	runtime/test/fleet/shutdown/quiesce_test.exs	138	20	20
L13	05b — Primitives et formats partagés	runtime/test/fleet/slug_property_test.exs	192	65	65
L13	05b — Primitives et formats partagés	runtime/test/fleet/slug_test.exs	125	13	13
L13	05b — Primitives et formats partagés	runtime/test/fleet/system_config_test.exs	74	15	15
L14	06 — Catalogue et profils	runtime/lib/fleet/cap_profile.ex	1065	476	476
L14	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/canonical_json.ex	51	13	13
L14	06 — Catalogue et profils	runtime/test/fleet/cap_profile/canonical_json_property_test.exs	126	46	46
L14	06 — Catalogue et profils	runtime/test/fleet/cap_profile_test.exs	1700	226	226
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/catalog.ex	554	237	237
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/disallowed_tools.ex	81	20	20
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/image.ex	239	94	94
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/invariants.ex	265	112	112
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/loader.ex	16	5	5
L15	06 — Catalogue et profils	runtime/lib/fleet/cap_profile/schema.ex	232	97	97
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile/conformance_test.exs	413	90	90
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile/declaration_schema_test.exs	97	10	10
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile/disk_scope_test.exs	147	32	32
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile/monks_conformance_test.exs	116	19	19
L15	06 — Catalogue et profils	runtime/test/fleet/cap_profile/monks_frozen_test.exs	51	8	8
