path	base_lines	base_comment_lines	base_inline_comments	base_doc_lines	base_blank_lines	base_doc_blocks	base_module_blocks	base_type_blocks	base_switches	base_prose_lines	base_doctest_prompts	current_lines	current_comment_lines	current_inline_comments	current_doc_lines	current_blank_lines	current_doc_blocks	current_module_blocks	current_type_blocks	current_switches	current_prose_lines	current_doctest_prompts
runtime/lib/fleet/conflict/patterns/utils.ex	382	15	0	24	61	8	1	0	0	39	0	382	15	0	24	61	8	1	0	0	39	0
runtime/lib/fleet/conflict/patterns/value_only_change.ex	59	0	0	6	7	0	1	0	0	6	0	59	0	0	6	7	0	1	0	0	6	0
runtime/lib/fleet/conflict/patterns/whitespace_only.ex	52	0	0	5	6	0	1	0	0	5	0	52	0	0	5	6	0	1	0	0	5	0
runtime/lib/fleet/conflict/score.ex	76	0	0	27	6	3	1	0	0	27	0	76	0	0	27	6	3	1	0	0	27	0
runtime/lib/fleet/conflict/types.ex	109	8	0	24	5	0	4	0	0	32	0	109	8	0	24	5	0	4	0	0	32	0
runtime/lib/fleet/credentials.ex	19	0	0	4	1	0	1	0	0	4	0	19	0	0	4	1	0	1	0	0	4	0
runtime/lib/fleet/credentials/authority.ex	130	8	0	38	16	2	1	1	0	46	0	130	8	0	38	16	2	1	1	0	46	0
runtime/lib/fleet/credentials/forge_auth.ex	182	23	0	71	16	6	1	0	0	94	0	182	23	0	71	16	6	1	0	0	94	0
runtime/lib/fleet/credentials/forge_identity.ex	265	22	0	101	26	7	1	0	0	123	0	265	22	0	101	26	7	1	0	0	123	0
runtime/lib/fleet/credentials/gate.ex	80	5	0	26	9	2	1	0	0	31	0	80	5	0	26	9	2	1	0	0	31	0
runtime/lib/fleet/credentials/human.ex	60	2	0	12	7	4	1	0	0	14	0	60	2	0	12	7	4	1	0	0	14	0
runtime/lib/fleet/credentials/role_identity.ex	100	0	0	61	9	6	1	0	0	61	0	100	0	0	61	9	6	1	0	0	61	0
runtime/lib/fleet/credentials/role_token.ex	152	20	0	48	17	3	1	0	0	68	0	152	20	0	48	17	3	1	0	0	68	0
runtime/lib/fleet/credentials/shell.ex	468	112	0	126	41	3	1	0	0	238	0	468	112	0	126	41	3	1	0	0	238	0
runtime/lib/fleet/durable_log.ex	127	12	0	44	12	2	1	0	0	56	0	127	12	0	44	12	2	1	0	0	56	0
runtime/lib/fleet/env_parse.ex	127	0	0	40	20	7	1	0	0	40	0	127	0	0	40	20	7	1	0	0	40	0
runtime/lib/fleet/event.ex	123	3	0	23	20	3	2	0	1	26	0	123	3	0	23	20	3	2	0	1	26	0
runtime/lib/fleet/event_router.ex	29	0	0	7	1	0	1	0	0	7	0	29	0	0	7	1	0	1	0	0	7	0
runtime/lib/fleet/event_router/application.ex	142	24	0	6	16	2	0	0	2	30	0	142	24	0	6	16	2	0	0	2	30	0
runtime/lib/fleet/event_router/bind_address.ex	62	0	0	10	10	1	1	0	0	10	0	62	0	0	10	10	1	1	0	0	10	0
runtime/lib/fleet/event_router/bus.ex	254	37	0	51	35	14	1	0	0	88	0	254	37	0	51	35	14	1	0	0	88	0
runtime/lib/fleet/event_router/catalog.ex	196	19	0	29	30	3	1	0	0	48	0	196	19	0	29	30	3	1	0	0	48	0
runtime/lib/fleet/event_router/listener.ex	59	3	0	24	8	1	1	0	0	27	0	59	3	0	24	8	1	1	0	0	27	0
runtime/lib/fleet/event_router/signals_os.ex	23	0	0	6	3	0	1	0	0	6	0	23	0	0	6	3	0	1	0	0	6	0
runtime/lib/fleet/event_router/unix_listener.ex	122	8	0	45	15	1	1	0	0	53	0	122	8	0	45	15	1	1	0	0	53	0
runtime/lib/fleet/event_router/webhooks_gitea.ex	298	56	0	49	45	2	1	0	1	105	0	298	56	0	49	45	2	1	0	1	105	0
runtime/lib/fleet/findings_wire.ex	201	28	0	84	18	6	1	0	0	112	0	201	28	0	84	18	6	1	0	0	112	0
runtime/lib/fleet/forge.ex	158	26	0	70	8	4	1	0	0	96	0	158	26	0	70	8	4	1	0	0	96	0
runtime/lib/fleet/forge/client.ex	1306	77	0	402	112	55	1	0	1	479	0	1306	77	0	402	112	55	1	0	1	479	0
runtime/lib/fleet/forge/client/actions.ex	310	23	0	141	25	6	1	1	0	164	0	310	23	0	141	25	6	1	1	0	164	0
runtime/lib/fleet/forge/client/ci.ex	148	46	0	28	11	0	1	1	5	74	0	148	46	0	28	11	0	1	1	5	74	0
runtime/lib/fleet/forge/client/files.ex	119	3	0	24	18	3	1	0	0	27	0	119	3	0	24	18	3	1	0	0	27	0
runtime/lib/fleet/forge/client/jury.ex	487	99	0	105	49	6	1	0	0	204	0	487	99	0	105	49	6	1	0	0	204	0
runtime/lib/fleet/forge/client/labels.ex	288	67	0	17	34	0	1	0	12	84	0	288	67	0	17	34	0	1	0	12	84	0
runtime/lib/fleet/forge/client/merge.ex	189	49	0	14	19	0	1	0	3	63	0	189	49	0	14	19	0	1	0	3	63	0
runtime/lib/fleet/forge/client/repo.ex	515	20	0	164	43	19	1	0	0	184	0	515	20	0	164	43	19	1	0	0	184	0
runtime/lib/fleet/forge/client/signing.ex	112	19	0	16	16	0	1	0	2	35	0	112	19	0	16	16	0	1	0	2	35	0
runtime/lib/fleet/forge/client/transport.ex	451	114	0	55	54	1	1	2	10	169	0	451	114	0	55	54	1	1	2	10	169	0
runtime/lib/fleet/forge/client/url_safe.ex	38	1	0	14	5	3	1	0	0	15	0	38	1	0	14	5	3	1	0	0	15	0
runtime/lib/fleet/forge/payload.ex	188	10	0	40	25	1	1	1	21	50	0	188	10	0	40	25	1	1	1	21	50	0
runtime/lib/fleet/forge/protocol.ex	540	80	0	232	58	23	1	0	3	312	27	540	80	0	232	58	23	1	0	3	312	27
runtime/lib/fleet/forge/write_spacing.ex	27	0	0	15	2	1	1	0	0	15	0	27	0	0	15	2	1	1	0	0	15	0
runtime/lib/fleet/git_ref.ex	39	0	0	13	5	1	1	0	0	13	0	39	0	0	13	5	1	1	0	0	13	0
runtime/lib/fleet/grace.ex	46	0	0	36	2	1	1	0	0	36	0	46	0	0	36	2	1	1	0	0	36	0
runtime/lib/fleet/labels.ex	321	81	0	129	32	14	1	0	0	210	0	321	81	0	129	32	14	1	0	0	210	0
runtime/lib/fleet/layout.ex	578	105	0	247	54	33	1	0	0	352	0	578	105	0	247	54	33	1	0	0	352	0
runtime/lib/fleet/mcp.ex	72	32	0	4	1	0	1	0	0	36	0	72	32	0	4	1	0	1	0	0	36	0
runtime/lib/fleet/mcp/idempotency.ex	115	1	0	10	21	1	1	0	1	11	0	115	1	0	10	21	1	1	0	1	11	0
runtime/lib/fleet/mcp/pod_socket_acceptor.ex	620	168	0	35	85	0	1	0	0	203	0	620	168	0	35	85	0	1	0	0	203	0
runtime/lib/fleet/mcp/pod_socket_supervisor.ex	161	3	0	27	26	6	1	0	0	30	0	161	3	0	27	26	6	1	0	0	30	0
runtime/lib/fleet/mcp/pod_tools.ex	1780	167	0	72	174	2	1	0	0	239	0	1780	167	0	72	174	2	1	0	0	239	0
runtime/lib/fleet/mcp/pod_tools/delegation.ex	87	0	0	85	0	0	1	0	0	85	0	87	0	0	85	0	0	1	0	0	85	0
runtime/lib/fleet/mcp/pod_tools/delegation/dependencies.ex	138	18	0	25	19	2	1	0	1	43	0	138	18	0	25	19	2	1	0	1	43	0
runtime/lib/fleet/mcp/pod_tools/delegation/dependency_forge.ex	59	0	0	37	4	4	1	0	0	37	0	59	0	0	37	4	4	1	0	0	37	0
runtime/lib/fleet/mcp/pod_tools/delegation/deposits.ex	267	16	0	56	25	5	1	0	0	72	0	267	16	0	56	25	5	1	0	0	72	0
runtime/lib/fleet/mcp/pod_tools/delegation/escalation_forge.ex	39	0	0	18	5	5	1	0	0	18	0	39	0	0	18	5	5	1	0	0	18	0
runtime/lib/fleet/mcp/pod_tools/delegation/escalations.ex	92	8	0	11	16	1	1	0	0	19	0	92	8	0	11	16	1	1	0	0	19	0
runtime/lib/fleet/mcp/pod_tools/delegation/forge_client.ex	173	0	0	107	16	14	1	0	0	107	0	173	0	0	107	16	14	1	0	0	107	0
runtime/lib/fleet/mcp/pod_tools/delegation/forge_writer.ex	108	6	0	55	7	4	1	0	0	61	0	108	6	0	55	7	4	1	0	0	61	0
runtime/lib/fleet/mcp/pod_tools/delegation/gate.ex	146	24	0	21	21	0	1	0	9	45	0	146	24	0	21	21	0	1	0	9	45	0
